Región	Hotspot	Tipo de costa	Temporada	Promedio de individuos	Promedio límite inferior	Promedio límite superior	Distancia avistamiento (km)	Densidad lineal	Densidad lineal límite inferior	Densidad lineal límite superior	Latitud	Longitud
Atacama	Huasco--Muelle	OTRO	No reproductiva	0.184210526	0	0.447368421	0.3	0.614035088	0	1.49122807	-28.4607583	-71.2237087
Atacama	Huasco--Muelle	OTRO	Reproductiva	0.16	0	0.4	0.3	0.533333333	0	1.333333333	-28.4607583	-71.2237087
Atacama	Huasco	OTRO	No reproductiva	2.388888889	0.222222222	5.498611111	0.6	3.981481481	0.37037037	9.164351852	-28.4671822	-71.2262535
Atacama	Huasco	OTRO	Reproductiva	6.235294118	0.529411765	16.35294118	0.6	10.39215686	0.882352941	27.25490196	-28.4671822	-71.2262535
Atacama	Caleta Los Bronces	ROCA	No reproductiva	0	0	0	0.6	0	0	0	-28.6541208	-71.28953
Atacama	RN Pingüino de Humboldt--Isla Chañaral	ROCA	No reproductiva	0.75	0	1.99875	0.6	1.25	0	3.33125	-29.0360601	-71.5790176
Atacama	RN Pingüino de Humboldt--Isla Chañaral	ROCA	Reproductiva	0.116402116	0.042328042	0.222222222	0.6	0.194003527	0.070546737	0.37037037	-29.0360601	-71.5790176
Atacama	Punta Rancagua	ROCA	Reproductiva	1.142857143	0	3.428571429	0.6	1.904761905	0	5.714285714	-29.0669732	-71.4896894
Atacama	Caleta Chañaral	ROCA	No reproductiva	2.225806452	0.935483871	3.838709677	0.15	14.83870968	6.23655914	25.59139785	-29.0776256	-71.4902687
Atacama	Caleta Chañaral	ROCA	Reproductiva	0.859504132	0.55392562	1.223140496	0.15	5.730027548	3.692837466	8.154269972	-29.0776256	-71.4902687
Atacama	Playa Carrizalillo	ARENA	No reproductiva	4	0	10.9875	1	4	0	10.9875	-29.090227	-71.4682102
Atacama	Playa Carrizalillo	ARENA	Reproductiva	2.047619048	1	3.380952381	1	2.047619048	1	3.380952381	-29.090227	-71.4682102
Coquimbo	El Apolillado	ROCA	No reproductiva	3.75	0	7.5	0.6	6.25	0	12.5	-29.2091888	-71.4837456
Coquimbo	El Apolillado	ROCA	Reproductiva	3.4	0.3	8.9	0.6	5.666666667	0.5	14.83333333	-29.2091888	-71.4837456
Coquimbo	Punta de Choros	ROCA	No reproductiva	1.327586207	0.706896552	2.120689655	0.6	2.212643678	1.17816092	3.534482759	-29.2463748	-71.4686662
Coquimbo	Punta de Choros	ROCA	Reproductiva	1.705263158	1.042105263	2.526052632	0.6	2.842105263	1.736842105	4.210087719	-29.2463748	-71.4686662
Coquimbo	Punta Choros	ROCA	No reproductiva	11.20833333	0.208333333	27.75	0.6	18.68055556	0.347222222	46.25	-29.2519574	-71.4530182
Coquimbo	Punta Choros	ROCA	Reproductiva	2.21875	0.71875	4.375	0.6	3.697916667	1.197916667	7.291666667	-29.2519574	-71.4530182
Coquimbo	Trayecto entre Punta de Choros e Islas	ROCA	No reproductiva	1.666666667	0	4.333333333	0.6	2.777777778	0	7.222222222	-29.2555518	-71.5003967
Coquimbo	Trayecto entre Punta de Choros e Islas	ROCA	Reproductiva	0.651162791	0.209302326	1.186046512	0.6	1.085271318	0.348837209	1.976744186	-29.2555518	-71.5003967
Coquimbo	Playa Larga	ROCA	No reproductiva	14.4	0.4	30	0.6	24	0.666666667	50	-29.2561509	-71.4428043
Coquimbo	Playa Larga	ROCA	Reproductiva	18.27272727	2	39.18181818	0.6	30.45454545	3.333333333	65.3030303	-29.2561509	-71.4428043
Coquimbo	RN Pingüino de Humboldt--Isla Gaviota	ROCA	Reproductiva	20.5	0.833333333	55.66666667	0.6	34.16666667	1.388888889	92.77777778	-29.2608155	-71.4787853
